"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"upper","BAU_n_l_LD-LR_1","BAU","north","light","LD-LR",1,"winterwheat",6.381,0.0996757757630842,0.011587073572417,74,6.35828933579806,6.40371066420194,0,0,0,74,0,0
"upper","BAU_n_l_LD-LR_2","BAU","north","light","LD-LR",2,"winterwheat",5.28662820741402,0.342835067236608,0.0398537670448342,74,5.20851482400615,5.3647415908219,0,0,0,74,0,0
"upper","BAU_n_l_LD-LR_3","BAU","north","light","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_n_l_LD-LR_4","BAU","north","light","LD-LR",4,"winterwheat",5.43559773639585,0.498121381767669,0.0579054344383001,74,5.32210308489679,5.54909238789492,0,0,0,74,0,0
"upper","BAU_n_l_LD-LR_5","BAU","north","light","LD-LR",5,"winterwheat",5.28721924282422,0.13790907783321,0.0160316046594482,74,5.2557972976917,5.31864118795674,0,0,0,74,0,0
"upper","BAU_n_l_LD-LR_6","BAU","north","light","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_c_h_LD-LR_1","BAU","central","heavy","LD-LR",1,"winterwheat",8.96,0,0,74,8.96,8.96,0,0,0,74,0,0
"lower","BAU_c_h_LD-LR_2","BAU","central","heavy","LD-LR",2,"winterwheat",8.0093271756271,0.0477429227159213,0.00555000203245451,74,7.99844917164349,8.02020517961071,0,0,0,74,0,0
"lower","BAU_c_h_LD-LR_3","BAU","central","heavy","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_c_h_LD-LR_4","BAU","central","heavy","LD-LR",4,"winterwheat",8.79289729688961,0.100947924293585,0.0117349578352191,74,8.76989677953258,8.81589781424664,0,0,0,74,0,0
"lower","BAU_c_h_LD-LR_5","BAU","central","heavy","LD-LR",5,"winterwheat",7.59164268847909,0.0167254524556627,0.0019442943548928,74,7.5878318715435,7.59545350541468,0,0,0,74,0,0
"lower","BAU_c_h_LD-LR_6","BAU","central","heavy","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_c_h_LD-LR_1","BAU","central","heavy","LD-LR",1,"winterwheat",8.822,0.138941990457632,0.016151678313066,74,8.79034271050639,8.85365728949361,0,0,0,74,0,0
"upper","BAU_c_h_LD-LR_2","BAU","central","heavy","LD-LR",2,"winterwheat",7.05302879246349,0.557329146417006,0.0647881972740853,74,6.92604392580629,7.1800136591207,0,0,0,74,0,0
"upper","BAU_c_h_LD-LR_3","BAU","central","heavy","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"upper","BAU_c_h_LD-LR_4","BAU","central","heavy","LD-LR",4,"winterwheat",6.72043815595604,0.82391955259029,0.0957787025034853,74,6.53271189904921,6.90816441286287,0,0,0,74,0,0
"upper","BAU_c_h_LD-LR_5","BAU","central","heavy","LD-LR",5,"winterwheat",7.0420115827846,0.286472883826842,0.0333017963090029,74,6.97674006201895,7.10728310355024,0,0,0,74,0,0
"upper","BAU_c_h_LD-LR_6","BAU","central","heavy","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"lower","BAU_c_m_LD-LR_1","BAU","central","medium","LD-LR",1,"winterwheat",7.94,0,0,74,7.94,7.94,0,0,0,74,0,0
