"region","LDLR","LDHR","HDHR","total","prop_LDLR","prop_LDHR","prop_HDHR","survival_cutoff"
"east",7,25,11,43,0.162790697674419,0.581395348837209,0.255813953488372,28
"central",1,37,23,61,0.0163934426229508,0.60655737704918,0.377049180327869,28
"north",9,8,4,21,0.428571428571429,0.380952380952381,0.19047619047619,28
