"ID","scenario","region","soiltype","initdenres_collapsed","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"MIT_e_m_LD-LR_5","MIT","east","medium","LD-LR",5,"wosr",0,0,0,74,0,0,-6.69729801537719,0.0354670337810008,0.00412295893028861,74,-6.70537901488055,-6.68921701587382
"MIT_e_m_LD-LR_6","MIT","east","medium","LD-LR",6,"winterwheat",7.76902792666151,0.164947475608359,0.0191747545562255,74,7.73144540773131,7.80661044559171,7.76902792666151,0.164947475608359,0.0191747545562255,74,7.73144540773131,7.80661044559171
"MIT_e_l_LD-LR_1","MIT","east","light","LD-LR",1,"winterwheat",6.48,0,0,74,6.48,6.48,0,0,0,74,0,0
"MIT_e_l_LD-LR_2","MIT","east","light","LD-LR",2,"wosr",0,0,0,74,0,0,-5.72724504789119,0.0797058169479214,0.00926561301434295,74,-5.74540564939931,-5.70908444638308
"MIT_e_l_LD-LR_3","MIT","east","light","LD-LR",3,"winterwheat",6.34012075298309,0.122705608147944,0.0142642372078228,74,6.31216284805575,6.36807865791042,6.34012075298309,0.122705608147944,0.0142642372078228,74,6.31216284805575,6.36807865791042
"MIT_e_l_LD-LR_4","MIT","east","light","LD-LR",4,"winterwheat",5.48896740274405,0.0230476534860871,0.00267923529634338,74,5.48371610156322,5.49421870392489,-0.769615314657562,0.112351356380183,0.0130605798888616,74,-0.795214051239731,-0.744016578075393
"MIT_e_l_LD-LR_5","MIT","east","light","LD-LR",5,"wosr",0,0,0,74,0,0,-5.47063013417264,0.0261889373739047,0.00304440213092618,74,-5.47659716234925,-5.46466310599602
"MIT_e_l_LD-LR_6","MIT","east","light","LD-LR",6,"winterwheat",6.34097193648208,0.134118120683199,0.0155909148421805,74,6.31041374339141,6.37153012957275,6.34097193648208,0.134118120683199,0.0155909148421805,74,6.31041374339141,6.37153012957275
"MIT_n_h_LD-HR_1","MIT","north","heavy","LD-HR",1,"winterwheat",8.96,0,0,74,8.96,8.96,0,0,0,74,0,0
"MIT_n_h_LD-HR_2","MIT","north","heavy","LD-HR",2,"winterbarley",0,0,0,74,0,0,-7.49044091344916,0.261473248930942,0.0303956477828969,74,-7.55001638310364,-7.43086544379468
