"scenario","initdenres_collapsed","soiltype","region","ww_mean","ww_ci_l","ww_ci_u","pc_mean","pc_ci_l","pc_ci_u"
"MIT","HD-HR","medium","central",2.4876724724093,-0.596840787631984,5.57218573245058,-2.03032263156328,-4.7678903101817,0.707245047055145
"MIT","HD-HR","medium","east",2.4138262819825,-0.588207092157138,5.41585965612213,-2.10416882199008,-6.84792324811985,2.63958560413969
"MIT","HD-HR","light","north",1.8710023523295,-0.453384445226815,4.19538914988581,-1.79509052506048,-5.46917500327776,1.8789939531568
"MIT","HD-HR","light","central",2.11051057662167,-0.506904448291214,4.72792560153454,-1.55558230076831,-3.83407961915056,0.722915017613934
"MIT","HD-HR","light","east",2.00602008836216,-0.486740418925167,4.49878059564949,-1.66007278902781,-6.42740211286165,3.10725653480602
"CWW","LD-LR","heavy","north",7.75013500885315,7.2178429739937,8.2824270437126,2.29053285801305,-0.930806206068734,5.51187192209484
"CWW","LD-LR","heavy","central",7.75371090459883,7.22319133582342,8.28423047337425,2.29373822672841,-0.928398756287199,5.51587520974402
"CWW","LD-LR","heavy","east",7.91748955382201,7.46599578667354,8.36898332097048,2.34555269076309,-0.982742326010513,5.67384770753669
"CWW","LD-LR","medium","north",6.92676197351396,6.48378527633444,7.36973867069347,2.04717963729898,-0.846212956785362,4.94057223138332
"CWW","LD-LR","medium","central",6.92917407648009,6.48739555053566,7.37095260242451,2.04959174026511,-0.844185313478693,4.94336879400891
"CWW","LD-LR","medium","east",6.92917407648009,6.48739555053566,7.37095260242451,2.04959174026511,-0.844185313478693,4.94336879400891
"CWW","LD-LR","light","north",5.65341269136684,5.29204675633079,6.01477862640288,1.66400304145593,-0.70282749413964,4.0308335770515
"CWW","LD-LR","light","central",5.65537387615728,5.29498206076483,6.01576569154973,1.66596422624637,-0.701176898468011,4.03310535096076
"CWW","LD-LR","light","east",5.65537387615728,5.29498206076483,6.01576569154973,1.66596422624637,-0.701176898468011,4.03310535096076
"CWW","LD-HR","heavy","north",7.25849246410281,6.49333536018439,8.02364956802123,2.09255733452453,-0.852166002881654,5.03728067193072
"CWW","LD-HR","heavy","central",7.26493245657832,6.50263713024662,8.02722778291001,2.09815146427697,-0.848091720398704,5.04439464895264
"CWW","LD-HR","heavy","east",7.74283743167417,7.20784711598364,8.2778277473647,2.29775492036497,-0.912120301454518,5.50763014218446
"CWW","LD-HR","medium","north",6.56499872966564,5.94747217867415,7.18252528065712,1.90366157089213,-0.782308969624083,4.58963211140835
"CWW","LD-HR","medium","central",6.57036844716979,5.95532300316107,7.18541389117851,1.90903128839629,-0.777771961448129,4.59583453824071
"CWW","LD-HR","medium","east",6.57036844716979,5.95532300316107,7.18541389117851,1.90903128839629,-0.777771961448129,4.59583453824071
"CWW","LD-HR","light","north",5.35931804803056,4.85606645945483,5.8625696366063,1.54226519796401,-0.659190222009716,3.74372061793773
"CWW","LD-HR","light","central",5.3636828519226,4.86244780060453,5.86491790324067,1.54663000185605,-0.655494116996791,3.74875412070889
"CWW","LD-HR","light","east",5.3636828519226,4.86244780060453,5.86491790324067,1.54663000185605,-0.655494116996791,3.74875412070889
"CWW","HD-HR","heavy","north",7.0109243692081,6.47312238755218,7.54872635086402,2.02762126654622,-0.893537710871997,4.94878024396443
"CWW","HD-HR","heavy","central",7.01752655574938,6.48240027739599,7.55265283410277,2.0333780611385,-0.889189940749251,4.95594606302625
"CWW","HD-HR","heavy","east",7.54089461865098,7.221899118586,7.85989011871596,2.27190857949272,-0.91366353476675,5.45748069375219
"CWW","HD-HR","medium","north",6.35269121767689,5.93228226293172,6.77310017242207,1.83469611370431,-0.840608263043352,4.51000049045198
"CWW","HD-HR","medium","central",6.35837700315005,5.94029269047893,6.77646131582117,1.84038189917747,-0.835685281678824,4.51644908003377
"CWW","HD-HR","medium","east",6.35837700315005,5.94029269047893,6.77646131582117,1.84038189917747,-0.835685281678824,4.51644908003377
"CWW","HD-HR","light","north",5.18672592968093,4.84372322009648,5.52972863926539,1.52063305229095,-0.649183093948493,3.6904491985304
"CWW","HD-HR","light","central",5.19134742312075,4.85023423751219,5.5324606087293,1.52525454573077,-0.645191367507591,3.69570045896913
"CWW","HD-HR","light","east",5.19134742312075,4.85023423751219,5.5324606087293,1.52525454573077,-0.645191367507591,3.69570045896913
