"ID","scenario","region","soiltype","initdenres_collapsed","year","crop","ww_yield_mean","ww_yield_sd","ww_yield_se","ww_yield_n","ww_yield_ci_l","ww_yield_ci_u","prod_cost_mean","prod_cost_sd","prod_cost_se","prod_cost_n","prod_cost_ci_l","prod_cost_ci_u"
"BAU_e_h_LD-LR_2","BAU","east","heavy","LD-LR",2,"winterwheat",7.8853909586348,0.0681891395778851,0.00792682646390186,74,7.86985437876555,7.90092753850405,0,0,0,74,0,0
"BAU_e_h_LD-LR_3","BAU","east","heavy","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_h_LD-LR_4","BAU","east","heavy","LD-LR",4,"winterwheat",8.84166722435824,0.0770179466916407,0.00895315444380058,74,8.82411904164839,8.85921540706809,0,0,0,74,0,0
"BAU_e_h_LD-LR_5","BAU","east","heavy","LD-LR",5,"winterwheat",7.604903823757,0.00656550271103597,0.000763224187324075,74,7.60340790434985,7.60639974316416,0,0,0,74,0,0
"BAU_e_h_LD-LR_6","BAU","east","heavy","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_m_LD-LR_1","BAU","east","medium","LD-LR",1,"winterwheat",7.416,0,0,74,7.416,7.416,0,0,0,74,0,0
"BAU_e_m_LD-LR_2","BAU","east","medium","LD-LR",2,"winterwheat",6.82342046123207,0.130122074848108,0.0151263839495391,74,6.79377274869097,6.85306817377317,0,0,0,74,0,0
"BAU_e_m_LD-LR_3","BAU","east","medium","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_m_LD-LR_4","BAU","east","medium","LD-LR",4,"winterwheat",7.59320149568032,0.176958133809675,0.0205709652118875,74,7.55288240386502,7.63352058749562,0,0,0,74,0,0
"BAU_e_m_LD-LR_5","BAU","east","medium","LD-LR",5,"winterwheat",6.69408068658719,0.0365605079508459,0.00425007272056047,74,6.68575054405489,6.70241082911949,0,0,0,74,0,0
"BAU_e_m_LD-LR_6","BAU","east","medium","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_l_LD-LR_1","BAU","east","light","LD-LR",1,"winterwheat",6.054,0,0,74,6.054,6.054,0,0,0,74,0,0
"BAU_e_l_LD-LR_2","BAU","east","light","LD-LR",2,"winterwheat",5.57583795012573,0.104190704501263,0.0121119233773268,74,5.55209858030617,5.59957731994529,0,0,0,74,0,0
"BAU_e_l_LD-LR_3","BAU","east","light","LD-LR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_e_l_LD-LR_4","BAU","east","light","LD-LR",4,"winterwheat",6.23112442155287,0.133170573199805,0.0154807646846383,74,6.20078212277097,6.26146672033476,0,0,0,74,0,0
"BAU_e_l_LD-LR_5","BAU","east","light","LD-LR",5,"winterwheat",5.46802398444481,0.0272052398522525,0.00316254489428361,74,5.46182539645201,5.47422257243761,0,0,0,74,0,0
"BAU_e_l_LD-LR_6","BAU","east","light","LD-LR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_h_LD-HR_1","BAU","north","heavy","LD-HR",1,"winterwheat",8.366,0,0,74,8.366,8.366,0,0,0,74,0,0
"BAU_n_h_LD-HR_2","BAU","north","heavy","LD-HR",2,"winterwheat",7.13957182330706,0.201009421084176,0.0233668705662976,74,7.09377275699712,7.185370889617,0,0,0,74,0,0
"BAU_n_h_LD-HR_3","BAU","north","heavy","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_h_LD-HR_4","BAU","north","heavy","LD-HR",4,"winterwheat",7.49308048487971,0.244956068128084,0.0284755645158598,74,7.43726837842862,7.54889259133079,0,0,0,74,0,0
"BAU_n_h_LD-HR_5","BAU","north","heavy","LD-HR",5,"winterwheat",7.02010496376035,0.152539989600889,0.0177324136051101,74,6.98534943309433,7.05486049442636,0,0,0,74,0,0
"BAU_n_h_LD-HR_6","BAU","north","heavy","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_m_LD-HR_1","BAU","north","medium","LD-HR",1,"winterwheat",7.416,0,0,74,7.416,7.416,0,0,0,74,0,0
"BAU_n_m_LD-HR_2","BAU","north","medium","LD-HR",2,"winterwheat",6.4475118158302,0.174435504018019,0.0202777154551827,74,6.40776749353804,6.48725613812236,0,0,0,74,0,0
"BAU_n_m_LD-HR_3","BAU","north","medium","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_m_LD-HR_4","BAU","north","medium","LD-HR",4,"winterwheat",6.85861872358727,0.214002540134309,0.0248772899757928,74,6.80985923523472,6.90737821193983,0,0,0,74,0,0
"BAU_n_m_LD-HR_5","BAU","north","medium","LD-HR",5,"winterwheat",6.38421791018097,0.107808118073994,0.0125324391635167,74,6.35965432942048,6.40878149094147,0,0,0,74,0,0
"BAU_n_m_LD-HR_6","BAU","north","medium","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_l_LD-HR_1","BAU","north","light","LD-HR",1,"winterwheat",6.054,0,0,74,6.054,6.054,0,0,0,74,0,0
"BAU_n_l_LD-HR_2","BAU","north","light","LD-HR",2,"winterwheat",5.27285314066293,0.141287435496732,0.0164243307606648,74,5.24066145237203,5.30504482895383,0,0,0,74,0,0
"BAU_n_l_LD-HR_3","BAU","north","light","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_n_l_LD-HR_4","BAU","north","light","LD-HR",4,"winterwheat",5.64330736274276,0.17989348363668,0.020912192698164,74,5.60231946505436,5.68429526043116,0,0,0,74,0,0
"BAU_n_l_LD-HR_5","BAU","north","light","LD-HR",5,"winterwheat",5.22739235085457,0.0865031651746144,0.0100557886954155,74,5.20768300501156,5.24710169669758,0,0,0,74,0,0
"BAU_n_l_LD-HR_6","BAU","north","light","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_h_LD-HR_1","BAU","central","heavy","LD-HR",1,"winterwheat",8.366,0,0,74,8.366,8.366,0,0,0,74,0,0
"BAU_c_h_LD-HR_2","BAU","central","heavy","LD-HR",2,"winterwheat",7.14163081554789,0.200477993711094,0.0233050933890129,74,7.09595283250542,7.18730879859036,0,0,0,74,0,0
"BAU_c_h_LD-HR_3","BAU","central","heavy","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_h_LD-HR_4","BAU","central","heavy","LD-HR",4,"winterwheat",7.4936096765594,0.244722196538147,0.0284483774957604,74,7.43785085666771,7.54936849645109,0,0,0,74,0,0
"BAU_c_h_LD-HR_5","BAU","central","heavy","LD-HR",5,"winterwheat",7.0226659052342,0.152169296927094,0.0176893214570817,74,6.98799483517832,7.05733697529009,0,0,0,74,0,0
"BAU_c_h_LD-HR_6","BAU","central","heavy","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_m_LD-HR_1","BAU","central","medium","LD-HR",1,"winterwheat",7.416,0,0,74,7.416,7.416,0,0,0,74,0,0
"BAU_c_m_LD-HR_2","BAU","central","medium","LD-HR",2,"winterwheat",6.4475118158302,0.174435504018019,0.0202777154551827,74,6.40776749353804,6.48725613812236,0,0,0,74,0,0
"BAU_c_m_LD-HR_3","BAU","central","medium","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_m_LD-HR_4","BAU","central","medium","LD-HR",4,"winterwheat",6.85861872358727,0.214002540134309,0.0248772899757928,74,6.80985923523472,6.90737821193983,0,0,0,74,0,0
"BAU_c_m_LD-HR_5","BAU","central","medium","LD-HR",5,"winterwheat",6.38421791018097,0.107808118073994,0.0125324391635167,74,6.35965432942048,6.40878149094147,0,0,0,74,0,0
"BAU_c_m_LD-HR_6","BAU","central","medium","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_l_LD-HR_1","BAU","central","light","LD-HR",1,"winterwheat",6.054,0,0,74,6.054,6.054,0,0,0,74,0,0
"BAU_c_l_LD-HR_2","BAU","central","light","LD-HR",2,"winterwheat",5.27285314066293,0.141287435496732,0.0164243307606648,74,5.24066145237203,5.30504482895383,0,0,0,74,0,0
"BAU_c_l_LD-HR_3","BAU","central","light","LD-HR",3,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
"BAU_c_l_LD-HR_4","BAU","central","light","LD-HR",4,"winterwheat",5.64330736274276,0.17989348363668,0.020912192698164,74,5.60231946505436,5.68429526043116,0,0,0,74,0,0
"BAU_c_l_LD-HR_5","BAU","central","light","LD-HR",5,"winterwheat",5.22739235085457,0.0865031651746144,0.0100557886954155,74,5.20768300501156,5.24710169669758,0,0,0,74,0,0
"BAU_c_l_LD-HR_6","BAU","central","light","LD-HR",6,"wosr",0,0,0,74,0,0,0,0,0,74,0,0
