"ID","scenario","region","soiltype","initdenres_collapsed","year","crop","fertcost","seedcost","herbcost","sundry","varcost","wtd_yield_mean","wtd_yield_sd","wtd_yield_se","wtd_yield_n","wtd_yield_ci_l","wtd_yield_ci_u","wtd_gp_mean","wtd_gp_sd","wtd_gp_se","wtd_gp_n","wtd_gp_ci_l","wtd_gp_ci_u","wtd_output_mean","wtd_output_sd","wtd_output_se","wtd_output_n","wtd_output_ci_l","wtd_output_ci_u","wtd_fuelcost_mean","wtd_fuelcost_sd","wtd_fuelcost_se","wtd_fuelcost_n","wtd_fuelcost_ci_l","wtd_fuelcost_ci_u","wtd_labcost_mean","wtd_labcost_sd","wtd_labcost_se","wtd_labcost_n","wtd_labcost_ci_l","wtd_labcost_ci_u","wtd_opscost_mean","wtd_opscost_sd","wtd_opscost_se","wtd_opscost_n","wtd_opscost_ci_l","wtd_opscost_ci_u","wtd_opp_cost_mean","wtd_opp_cost_sd","wtd_opp_cost_se","wtd_opp_cost_n","wtd_opp_cost_ci_l","wtd_opp_cost_ci_u"
"BAU_n_l_LD-HR_6","BAU","north","light","LD-HR",6,"wosr",202.3,23.49,67.26,192,485.05,2.37,0,0,74,2.37,2.37,262.9,0,0,74,262.9,262.9,1016.95,0,0,74,1016.95,1016.95,174,0,0,74,174,174,95,0,0,74,95,95,269,0,0,74,269,269,0,0,0,74,0,0
"BAU_c_h_LD-HR_1","BAU","central","heavy","LD-HR",1,"winterwheat",191.76,72,168.66,182,614.42,8.96,0,0,74,8.96,8.96,1063.78,0,0,74,1063.78,1063.78,1858.2,0,0,74,1858.2,1858.2,117,0,0,74,117,117,63,0,0,74,63,63,180,0,0,74,180,180,0,0,0,74,0,0
"BAU_c_h_LD-HR_2","BAU","central","heavy","LD-HR",2,"winterwheat",191.76,72,168.66,182,614.42,7.49234301714391,0.262178798411508,0.0304776662440296,74,7.43260679130562,7.55207924298221,801.799917898749,47.4625185613947,5.51740571159683,74,790.985802704019,812.614033093479,1590.35089985972,47.8483025249287,5.56225218642289,74,1579.44888557433,1601.25291414511,113.626315995426,0.233358742115344,0.0271274027511366,74,113.573146286033,113.679485704818,60.5065343855708,0.156299876648374,0.0181694915963237,74,60.4709221820421,60.5421465890996,174.132850380996,0.384669484114695,0.0447169192251365,74,174.045205219315,174.220495542678,0,0,0,74,0,0
"BAU_c_h_LD-HR_3","BAU","central","heavy","LD-HR",3,"wosr",202.3,23.49,67.26,192,485.05,3.35,0,0,74,3.35,3.35,546.2,0,0,74,546.2,546.2,1345.25,0,0,74,1345.25,1345.25,203,0,0,74,203,203,111,0,0,74,111,111,314,0,0,74,314,314,0,0,0,74,0,0
"BAU_c_h_LD-HR_4","BAU","central","heavy","LD-HR",4,"winterwheat",191.76,72,168.66,182,614.42,7.51957606926353,0.255610298572102,0.0297140936476095,74,7.46133644571422,7.57781569281285,802.823827695735,46.3233715136908,5.38498255711925,74,792.269261883781,813.378393507689,1595.32424917185,46.6491806904333,5.42285710459664,74,1584.69544924684,1605.95304909686,115.935818484603,0.257574656665018,0.0299424456375583,74,115.877131291153,115.994505678052,62.1446029915109,0.0695931565691819,0.00809004012389631,74,62.128746512868,62.1604594701537,178.080421476114,0.325816947692788,0.0378754508320051,74,178.006185592483,178.154657359744,0,0,0,74,0,0
"BAU_c_h_LD-HR_5","BAU","central","heavy","LD-HR",5,"winterwheat",191.76,72,168.66,182,614.42,7.02876686740067,0.152945548196569,0.0177795588342302,74,6.99391893208557,7.06361480271576,717.278013514071,27.67436203201,3.21707923996277,74,710.972538203744,723.583488824398,1505.75083795164,27.9126313205387,3.2447774821394,74,1499.39107408665,1512.11060181663,113.612035295784,0.140299609832076,0.016309498359658,74,113.580068678999,113.644001912569,60.4407891417843,0.0989962679061599,0.0115080823885416,74,60.4182333003027,60.4633449832658,174.052824437569,0.238278488127261,0.0276993116082413,74,173.998533786816,174.107115088321,0,0,0,74,0,0
"BAU_c_h_LD-HR_6","BAU","central","heavy","LD-HR",6,"wosr",202.3,23.49,67.26,192,485.05,3.35,0,0,74,3.35,3.35,546.2,0,0,74,546.2,546.2,1345.25,0,0,74,1345.25,1345.25,203,0,0,74,203,203,111,0,0,74,111,111,314,0,0,74,314,314,0,0,0,74,0,0
"BAU_c_m_LD-HR_1","BAU","central","medium","LD-HR",1,"winterwheat",191.76,72,168.66,182,614.42,7.94,0,0,74,7.94,7.94,896.63,0,0,74,896.63,896.63,1672.05,0,0,74,1672.05,1672.05,105,0,0,74,105,105,56,0,0,74,56,56,161,0,0,74,161,161,0,0,0,74,0,0
"BAU_c_m_LD-HR_2","BAU","central","medium","LD-HR",2,"winterwheat",191.76,72,168.66,182,614.42,6.74815065335169,0.204907881540862,0.0238200573891234,74,6.70146334086901,6.79483796583437,663.947729912903,36.9572922576577,4.29619795931795,74,655.52718191264,672.368277913166,1454.5355928229,37.3945252765249,4.34702526534208,74,1446.01542330283,1463.05576234297,114.311439364688,0.344258573829479,0.0400192463249917,74,114.233001641891,114.389877087484,61.8622920970197,0.0953523597934166,0.0110844866746358,74,61.8405665031374,61.8840176909019,176.173731461707,0.438837576257504,0.0510138320319956,74,176.073744350924,176.27371857249,0,0,0,74,0,0
"BAU_c_m_LD-HR_3","BAU","central","medium","LD-HR",3,"wosr",202.3,23.49,67.26,192,485.05,2.86,0,0,74,2.86,2.86,404.05,0,0,74,404.05,404.05,1181.1,0,0,74,1181.1,1181.1,189,0,0,74,189,189,103,0,0,74,103,103,292,0,0,74,292,292,0,0,0,74,0,0
"BAU_c_m_LD-HR_4","BAU","central","medium","LD-HR",4,"winterwheat",191.76,72,168.66,182,614.42,6.88939659618632,0.224462171165605,0.0260931973853125,74,6.83825392931111,6.94053926306153,706.909063164455,40.5175548954222,4.71007008426591,74,697.677325799294,716.140800529616,1480.31466752812,40.9650593454351,4.76209141990726,74,1470.9809683451,1489.64836671114,103.400218599572,0.328548644975988,0.03819300419094,74,103.325360311357,103.475076887786,55.5894908555351,0.117955922406096,0.0137120974555579,74,55.5626151445222,55.616366566548,158.989709455107,0.446340436322314,0.051886021798355,74,158.888012852382,159.091406057831,0,0,0,74,0,0
"BAU_c_m_LD-HR_5","BAU","central","medium","LD-HR",5,"winterwheat",191.76,72,168.66,182,614.42,6.39047570310301,0.108418228071209,0.0126033630100669,74,6.36577311160328,6.41517829460275,598.622966271688,19.5428511464009,2.27181030009104,74,594.170218083509,603.075714459866,1389.26089764643,19.785956385767,2.30007071013361,74,1384.75275905456,1393.76903623829,114.338013794246,0.194986745321028,0.0226667487299119,74,114.293586966736,114.382440621757,61.8799175804913,0.0482613803434069,0.00561027150743842,74,61.8689214483367,61.8909137126459,176.217931374737,0.243113790491684,0.0282614040907178,74,176.16253902272,176.273323726755,0,0,0,74,0,0
"BAU_c_m_LD-HR_6","BAU","central","medium","LD-HR",6,"wosr",202.3,23.49,67.26,192,485.05,2.86,0,0,74,2.86,2.86,404.05,0,0,74,404.05,404.05,1181.1,0,0,74,1181.1,1181.1,189,0,0,74,189,189,103,0,0,74,103,103,292,0,0,74,292,292,0,0,0,74,0,0
